Timestamp,Route,Airline,Dep_Time,Price_INR
2026-08-27 23:42:47,DEL-BOM,IndiGo,06:15,4800
2026-08-27 23:42:47,DEL-BOM,Air India,08:30,5300
2026-08-27 23:42:47,DEL-BOM,Akasa Air,11:45,4600
2026-08-27 23:42:47,DEL-BOM,Vistara,15:20,5500
2026-08-27 23:42:47,DEL-BOM,IndiGo,07:00,5900
2026-08-27 23:42:47,DEL-BOM,Air India,09:15,6700
2026-08-27 23:42:47,DEL-BOM,Akasa Air,13:00,5400
2026-08-27 23:42:47,DEL-BOM,Vistara,18:45,7100
2026-08-27 23:42:47,DEL-BOM,IndiGo,06:15,7400
2026-08-27 23:42:47,DEL-BOM,Air India,08:30,8200
2026-08-27 23:42:47,DEL-BOM,Akasa Air,11:45,6900
2026-08-27 23:42:47,DEL-BOM,Vistara,15:20,8900
